,scores,duration,Frames,Prompt,model
0,3,11.58203387260437,3,"
You are an expert A",qwen2.5vl:7b
1,3,5.433535814285278,3,"
You are an expert A",qwen2.5vl:7b
2,3,10.729182243347168,3,"
You are an expert A",qwen2.5vl:7b
3,3,6.3678741455078125,3,"
You are an expert A",qwen2.5vl:7b
4,3,4.959857225418091,3,"
You are an expert A",qwen2.5vl:7b
5,3,6.788372993469238,3,"
You are an expert A",qwen2.5vl:7b
6,3,6.632339000701904,3,"
You are an expert A",qwen2.5vl:7b
0,4,15.201545238494873,3,"
You are an expert A",gemma3:12b
1,10,12.67575979232788,3,"
You are an expert A",gemma3:12b
2,10,12.720531940460205,3,"
You are an expert A",gemma3:12b
3,10,12.370985984802246,3,"
You are an expert A",gemma3:12b
4,4,12.608228921890259,3,"
You are an expert A",gemma3:12b
5,10,25.09632420539856,3,"
You are an expert A",gemma3:12b
6,10,23.34117293357849,3,"
You are an expert A",gemma3:12b
0,1,23.80276131629944,3,"
You are an expert A",llava:7b
1,1,19.73296308517456,3,"
You are an expert A",llava:7b
2,1,17.739908933639526,3,"
You are an expert A",llava:7b
3,1,19.725936889648438,3,"
You are an expert A",llava:7b
4,1,28.35792899131775,3,"
You are an expert A",llava:7b
5,1,10.884297132492065,3,"
You are an expert A",llava:7b
6,1,15.31296420097351,3,"
You are an expert A",llava:7b
0,2,13.01560926437378,3,"
You are an elite Ol",qwen2.5vl:7b
1,7,23.974888801574707,3,"
You are an elite Ol",qwen2.5vl:7b
2,7,31.63804602622986,3,"
You are an elite Ol",qwen2.5vl:7b
3,7,25.10315990447998,3,"
You are an elite Ol",qwen2.5vl:7b
4,7,24.315051078796387,3,"
You are an elite Ol",qwen2.5vl:7b
5,7,26.25558304786682,3,"
You are an elite Ol",qwen2.5vl:7b
6,7,18.84056305885315,3,"
You are an elite Ol",qwen2.5vl:7b
0,6,28.506962299346924,3,"
You are an elite Ol",gemma3:12b
1,7,25.715590000152588,3,"
You are an elite Ol",gemma3:12b
2,6,27.144647121429443,3,"
You are an elite Ol",gemma3:12b
3,7,13.698835849761963,3,"
You are an elite Ol",gemma3:12b
4,7,26.17264699935913,3,"
You are an elite Ol",gemma3:12b
5,6,24.278872966766357,3,"
You are an elite Ol",gemma3:12b
6,6,31.558655977249146,3,"
You are an elite Ol",gemma3:12b
0,7,19.923083066940308,3,"
You are an elite Ol",llava:7b
1,7,19.064085006713867,3,"
You are an elite Ol",llava:7b
2,7,19.948164701461792,3,"
You are an elite Ol",llava:7b
3,7,29.131021976470947,3,"
You are an elite Ol",llava:7b
4,7,9.7741219997406,3,"
You are an elite Ol",llava:7b
5,3,19.93936800956726,3,"
You are an elite Ol",llava:7b
6,6,13.304033041000366,3,"
You are an elite Ol",llava:7b
0,5,19.733301162719727,3,"
You are a discus co",qwen2.5vl:7b
1,7,23.958178997039795,3,"
You are a discus co",qwen2.5vl:7b
2,6,30.92215085029602,3,"
You are a discus co",qwen2.5vl:7b
3,6,26.272247076034546,3,"
You are a discus co",qwen2.5vl:7b
4,7,24.30141592025757,3,"
You are a discus co",qwen2.5vl:7b
5,6,18.896809816360474,3,"
You are a discus co",qwen2.5vl:7b
6,6,19.33162498474121,3,"
You are a discus co",qwen2.5vl:7b
0,5,28.953667640686035,3,"
You are a discus co",gemma3:12b
1,6,22.660677194595337,3,"
You are a discus co",gemma3:12b
2,4,27.11439609527588,3,"
You are a discus co",gemma3:12b
3,6,14.252063989639282,3,"
You are a discus co",gemma3:12b
4,5,23.43450117111206,3,"
You are a discus co",gemma3:12b
5,4,21.7954158782959,3,"
You are a discus co",gemma3:12b
6,4,28.35599684715271,3,"
You are a discus co",gemma3:12b
